"dbn","location_name","location_category","administrative_district","ell_removals","ell_principal","ell_superintendent","ell_expulsions","non_ell_removals","non_ell_principal","non_ell_superintendent","non_ell_expulsions","sy1617_total_removals_suspensions"
"01M015","P.S. 015 Roberto Clemente","Elementary","1","R","R","R","R","R","R","R","R","0"
"01M019","P.S. 019 Asher Levy","Elementary","1","R","R","R","R","R","R","R","R","0"
"01M020","P.S. 020 Anna Silver","Elementary","1","R","R","R","R","R","R","R","R","9"
"01M034","P.S. 034 Franklin D. Roosevelt","K-8","1","R","R","R","R","R","R","R","R","R"
"01M063","The STAR Academy - P.S.63","Elementary","1","R","R","R","R","R","R","R","R","31"
"01M064","P.S. 064 Robert Simon","Elementary","1","R","R","R","R","R","R","R","R","6"
"01M110","P.S. 110 Florence Nightingale","Elementary","1","R","R","R","R","R","R","R","R","R"
"01M134","P.S. 134 Henrietta Szold","Elementary","1","R","R","R","R","R","R","R","R","42"
"01M140","P.S. 140 Nathan Straus","K-8","1","R","R","R","R","R","R","R","R","28"
"01M142","P.S. 142 Amalia Castro","Elementary","1","R","R","R","R","R","R","R","R","0"
"01M184","P.S. 184m Shuang Wen","K-8","1","R","R","R","R","R","R","R","R","0"
"01M188","P.S. 188 The Island School","K-8","1","R","R","R","R","R","R","R","R","23"
"01M292","Orchard Collegiate Academy","High school","1","R","R","R","R","R","R","R","R","11"
"01M301","Technology, Arts, and Sciences Studio","Junior High-Intermediate-Middle","1","R","R","R","R","R","R","R","R","23"
"01M315","The East Village Community School","Elementary","1","R","R","R","R","R","R","R","R","R"
"01M332","University Neighborhood Middle School","Junior High-Intermediate-Middle","1","R","R","R","R","R","R","R","R","30"
"01M361","The Children's Workshop School","Elementary","1","R","R","R","R","R","R","R","R","R"
"01M363","Neighborhood School","Elementary","1","R","R","R","R","R","R","R","R","0"
"01M364","Earth School","Elementary","1","R","R","R","R","R","R","R","R","0"
"01M378","School for Global Leaders","Junior High-Intermediate-Middle","1","R","R","R","R","R","R","R","R","19"
"01M448","University Neighborhood High School","High school","1","R","R","R","R","R","R","R","R","7"
"01M450","East Side Community School","Secondary School","1","R","R","R","R","R","R","R","R","23"
"01M458","Forsyth Satellite Academy","High school","1","R","R","R","R","R","R","R","R","0"
"01M509","Marta Valle High School","High school","1","R","R","R","R","R","R","R","R","40"
"01M515","Lower East Side Preparatory High School","High school","1","R","R","R","R","R","R","R","R","0"
"01M539","New Explorations into Science, Technology and Math","K-12 all grades","1","R","R","R","R","R","R","R","R","18"
"01M650","Cascades High School","High school","1","R","R","R","R","R","R","R","R","9"
"01M696","Bard High School Early College","High school","1","R","R","R","R","R","R","R","R","0"
"01M839","Tompkins Square Middle School","Junior High-Intermediate-Middle","1","R","R","R","R","R","R","R","R","6"
"02M001","P.S. 001 Alfred E. Smith","Elementary","2","R","R","R","R","R","R","R","R","9"
"02M002","P.S. 002 Meyer London","Elementary","2","R","R","R","R","R","R","R","R","8"
"02M003","P.S. 003 Charrette School","Elementary","2","R","R","R","R","R","R","R","R","R"
"02M006","P.S. 006 Lillie D. Blake","Elementary","2","R","R","R","R","R","R","R","R","15"
"02M011","P.S. 011 William T. Harris","Elementary","2","R","R","R","R","R","R","R","R","12"
"02M033","P.S. 033 Chelsea Prep","Elementary","2","R","R","R","R","R","R","R","R","12"
"02M040","P.S. 040 Augustus Saint-Gaudens","Elementary","2","R","R","R","R","R","R","R","R","R"
"02M041","P.S. 041 Greenwich Village","Elementary","2","R","R","R","R","R","R","R","R","0"
"02M042","P.S. 042 Benjamin Altman","Elementary","2","R","R","R","R","R","R","R","R","0"
"02M047","47 The American Sign Language and English Secondar","High school","2","R","R","R","R","R","R","R","R","16"
"02M051","P.S. 051 Elias Howe","Elementary","2","R","R","R","R","R","R","R","R","R"
"02M059","P.S. 059 Beekman Hill International","Elementary","2","R","R","R","R","R","R","R","R","R"
"02M077","P.S. 77 Lower Lab School","Elementary","2","R","R","R","R","R","R","R","R","8"
"02M089","P.S. 89","Elementary","2","R","R","R","R","R","R","R","R","0"
"02M104","J.H.S. 104 Simon Baruch","Junior High-Intermediate-Middle","2","R","R","R","R","R","R","R","R","41"
"02M111","P.S. 111 Adolph S. Ochs","Elementary","2","R","R","R","R","R","R","R","R","12"
"02M114","East Side Middle School","Junior High-Intermediate-Middle","2","R","R","R","R","R","R","R","R","10"
"02M116","P.S. 116 Mary Lindley Murray","Elementary","2","R","R","R","R","R","R","R","R","20"
"02M124","P.S. 124 Yung Wing","Elementary","2","R","R","R","R","R","R","R","R","19"
"02M126","P.S. 126 Jacob August Riis","K-8","2","R","R","R","R","R","R","R","R","12"
"02M130","P.S. 130 Hernando De Soto","Elementary","2","R","R","R","R","R","R","R","R","0"
"02M131","M.S. 131","Junior High-Intermediate-Middle","2","R","7","R","R","R","11","R","R","24"
"02M135","The Urban Assembly School for Emergency Management","High school","2","R","R","R","R","R","R","R","R","76"
"02M139","Stephen T. Mather Building Arts & Craftsmanship Hi","High school","2","R","R","R","R","R","R","R","R","49"
"02M150","P.S. 150","Elementary","2","R","R","R","R","R","R","R","R","0"
"02M151","Yorkville Community School","Elementary","2","6","R","R","R","26","R","R","R","42"
"02M158","P.S. 158 Bayard Taylor","Elementary","2","R","R","R","R","R","R","R","R","18"
"02M167","J.H.S. 167 Robert F. Wagner","Junior High-Intermediate-Middle","2","R","R","R","R","R","R","R","R","89"
"02M177","Yorkville East Middle School","Junior High-Intermediate-Middle","2","R","R","R","R","R","R","R","R","R"
"02M183","P.S. 183 Robert L. Stevenson","Elementary","2","R","R","R","R","R","R","R","R","R"
"02M198","P.S. 198 Isador E. Ida Straus","Elementary","2","R","R","R","R","R","R","R","R","9"
"02M212","P.S. 212 Midtown West","Elementary","2","R","R","R","R","R","R","R","R","0"
"02M217","P.S./I.S. 217 Roosevelt Island","K-8","2","R","R","R","R","R","R","R","R","31"
"02M225","Ella Baker School","K-8","2","R","R","R","R","R","R","R","R","0"
"02M234","P.S. 234 Independence School","Elementary","2","R","R","R","R","R","R","R","R","10"
"02M255","M.S. 255 Salk School of Science","Junior High-Intermediate-Middle","2","R","R","R","R","R","R","R","R","8"
"02M260","M.S. 260 Clinton School Writers & Artists","Secondary School","2","R","R","R","R","R","R","R","R","R"
"02M267","East Side Elementary School, PS 267","Elementary","2","R","R","R","R","R","R","R","R","0"
"02M276","Battery Park City School","K-8","2","R","R","R","R","R","R","R","R","34"
"02M280","Manhattan Early College School for Advertising","High school","2","R","R","R","R","R","R","R","R","74"
"02M281","The River School","Elementary","2","R","R","R","R","R","R","R","R","0"
"02M282","Urban Assembly Maker Academy","High school","2","R","R","R","R","R","R","R","R","14"
"02M288","Food and Finance High School","High school","2","R","R","R","R","R","R","R","R","19"
"02M289","I.S. 289","Junior High-Intermediate-Middle","2","R","R","R","R","R","R","R","R","16"
"02M290","P.S. 290 Manhattan New School","Elementary","2","R","R","R","R","R","R","R","R","R"
"02M294","Essex Street Academy","High school","2","R","R","R","R","R","R","R","R","14"
"02M296","High School of Hospitality Management","High school","2","R","10","R","R","R","64","R","R","93"
"02M298","Pace High School","High school","2","R","R","R","R","R","R","R","R","51"
"02M300","Urban Assembly School of Design and Construction,","High school","2","R","R","R","R","R","R","R","R","16"
"02M303","Facing History School, The","High school","2","R","R","R","R","R","R","R","R","40"
"02M305","Urban Assembly Academy of Government and Law, The","High school","2","R","R","R","R","R","R","R","R","86"
"02M308","Lower Manhattan Arts Academy","High school","2","R","R","R","R","R","R","R","R","37"
"02M312","New York City Lab Middle School for Collaborative","Junior High-Intermediate-Middle","2","R","R","R","R","R","R","R","R","33"
"02M313","James Baldwin School, The: A School for Expedition","High school","2","R","R","R","R","R","R","R","R","R"
"02M316","Urban Assembly School of Business for Young Women,","High school","2","R","R","R","R","R","R","R","R","69"
"02M340","Sixth Avenue Elementary School","Elementary","2","R","R","R","R","R","R","R","R","0"
"02M343","The Peck Slip School","Elementary","2","R","R","R","R","R","R","R","R","R"
"02M347","The 47 American Sign Language & English Lower Scho","K-8","2","R","R","R","R","R","R","R","R","11"
"02M374","Gramercy Arts High School","High school","2","R","R","R","R","R","R","R","R","67"
"02M376","NYC iSchool","High school","2","R","R","R","R","R","R","R","R","21"
"02M391","District 2 Pre-K Center","District Pre-K Center","2","R","R","R","R","R","R","R","R","0"
"02M392","MANHATTAN BUSINESS ACADEMY","High school","2","R","6","R","R","R","74","R","R","101"
"02M393","Business Of Sports School","High school","2","R","6","R","R","R","53","R","R","78"
"02M394","Emma Lazarus High School","High school","2","R","R","R","R","R","R","R","R","R"
"02M397","Spruce Street School","K-8","2","R","R","R","R","R","R","R","R","R"
"02M399","The High School For Language And Diplomacy","High school","2","R","R","R","R","R","R","R","R","31"
"02M400","High School for Environmental Studies","High school","2","R","7","R","R","R","98","R","R","142"
"02M407","Institute for Collaborative Education","Secondary School","2","R","R","R","R","R","R","R","R","R"
"02M408","Professional Performing Arts High School","Secondary School","2","R","R","R","R","R","R","R","R","R"
"02M411","Baruch College Campus High School","High school","2","R","R","R","R","R","R","R","R","7"
"02M412","N.Y.C. Lab School for Collaborative Studies","High school","2","R","R","R","R","R","R","R","R","19"
"02M413","School of the Future High School","Secondary School","2","R","R","R","R","R","R","R","R","76"
"02M414","N.Y.C. Museum School","High school","2","R","R","R","R","R","R","R","R","15"
"02M416","Eleanor Roosevelt High School","High school","2","R","R","R","R","R","R","R","R","R"
"02M418","Millennium High School","High school","2","R","R","R","R","R","R","R","R","13"
"02M419","Landmark High School","High school","2","R","R","R","R","R","R","R","R","14"
"02M420","High School for Health Professions and Human Servi","High school","2","R","6","R","R","R","61","R","R","81"
"02M422","Quest to Learn","Secondary School","2","R","R","R","R","R","R","R","R","90"
"02M425","Leadership and Public Service High School","High school","2","R","R","R","R","R","R","R","R","68"
"02M427","MANHATTAN ACADEMY FOR ARTS & LANGUAGE","High school","2","R","R","R","R","R","R","R","R","31"
"02M432","Murray Hill Academy","High school","2","R","R","R","R","R","R","R","R","58"
"02M437","Hudson High School of Learning Technologies","High school","2","R","R","R","R","R","R","R","R","80"
"02M438","International High School at Union Square","High school","2","R","R","R","R","R","R","R","R","15"
"02M439","Manhattan Village Academy","High school","2","R","R","R","R","R","R","R","R","7"
"02M442","Ballet Tech, NYC Public School for Dance","K-8","2","R","R","R","R","R","R","R","R","0"
"02M449","Vanguard High School","High school","2","R","R","R","R","R","R","R","R","15"
"02M459","Manhattan International High School","High school","2","R","R","R","R","R","R","R","R","9"
"02M473","Washington Irving Yabc","High school","2","R","R","R","R","R","R","R","R","R"
"02M475","Stuyvesant High School","High school","2","R","R","R","R","R","R","R","R","45"
"02M489","High School of Economics and Finance","High school","2","R","R","R","R","R","R","R","R","27"
"02M500","Unity Center for Urban Technologies","High school","2","R","R","R","R","R","R","R","R","R"
"02M507","Urban Assembly Gateway School for Technology","High school","2","R","R","R","R","R","R","R","R","25"
"02M519","Talent Unlimited High School","High school","2","R","R","R","R","R","R","R","R","R"
"02M520","Murry Bergtraum High School for Business Careers","High school","2","R","R","R","R","R","R","R","R","43"
"02M527","P.S. 527 - East Side School for Social Action","Elementary","2","R","R","R","R","R","R","R","R","0"
"02M529","Jacqueline Kennedy Onassis High School","High school","2","R","9","R","R","R","39","R","R","81"
"02M531","Repertory Company High School for Theatre Arts","High school","2","R","R","R","R","R","R","R","R","23"
"02M533","Union Square Academy for Health Sciences","High school","2","R","R","R","R","R","R","R","R","50"
"02M534","Harvest Collegiate High School","High school","2","R","R","R","R","R","R","R","R","38"
"02M542","Manhattan Bridges High School","High school","2","R","R","R","R","R","R","R","R","0"
"02M543","New Design High School","High school","2","R","R","R","R","R","R","R","R","24"
"02M544","Independence High School","High school","2","R","R","R","R","R","R","R","R","15"
"02M545","High School for Dual Language and Asian Studies","High school","2","R","R","R","R","R","R","R","R","0"
"02M546","Academy for Software Engineering","High school","2","R","R","R","R","R","R","R","R","18"
"02M550","Liberty High School Academy for Newcomers","High school","2","R","R","R","R","R","R","R","R","10"
"02M551","Urban Assembly New York Harbor School","High school","2","R","R","R","R","R","R","R","R","54"
"02M560","High School M560 - City As School","High school","2","R","R","R","R","R","R","R","R","R"
"02M565","Urban Academy Laboratory High School","High school","2","R","R","R","R","R","R","R","R","0"
"02M570","Satellite Academy High School","High school","2","R","R","R","R","R","R","R","R","10"
"02M575","Manhattan Comprehensive Night and Day High School","High school","2","R","R","R","R","R","R","R","R","R"
"02M580","Richard R. Green High School of Teaching","High school","2","R","R","R","R","R","R","R","R","43"
"02M586","Harvey Milk High School","High school","2","R","R","R","R","R","R","R","R","16"
"02M600","The High School of Fashion Industries","High school","2","R","R","R","R","R","R","R","R","34"
"02M605","Humanities Preparatory Academy","High school","2","R","R","R","R","R","R","R","R","R"
"02M615","Chelsea Career and Technical Education High School","High school","2","R","R","R","R","R","R","R","R","21"
"02M630","Art and Design High School","High school","2","R","R","R","R","R","R","R","R","38"
"02M655","Life Sciences Secondary School","Secondary School","2","R","R","R","R","R","R","R","R","48"
"02M893","Jacob Riis School","Junior High-Intermediate-Middle","2","R","R","R","R","R","R","R","R","0"
"02M896","Lower Manhattan Community Middle School","Junior High-Intermediate-Middle","2","R","R","R","R","R","R","R","R","17"
"02M902","Washington Irving Evng Hs T/R @NTHS","Ungraded","2","R","R","R","R","R","R","R","R","0"
"02M933","City Knoll Middle School","Junior High-Intermediate-Middle","2","R","R","R","R","R","R","R","R","11"
"02M972","Office of Academic Policy","Central-HQ-Citywide","2","R","R","R","R","R","R","R","R","0"
"03M009","P.S. 009 Sarah Anderson","Elementary","3","9","R","R","R","9","R","R","R","21"
"03M054","J.H.S. 054 Booker T. Washington","Junior High-Intermediate-Middle","3","R","R","R","R","R","R","R","R","46"
"03M075","P.S. 075 Emily Dickinson","Elementary","3","R","R","R","R","R","R","R","R","6"
"03M076","P.S. 076 A. Philip Randolph","K-8","3","R","R","R","R","R","R","R","R","90"
"03M084","P.S. 084 Lillian Weber","Elementary","3","R","R","R","R","R","R","R","R","32"
"03M087","P.S. 087 William Sherman","Elementary","3","R","R","R","R","R","R","R","R","R"
"03M145","P.S. 145, The Bloomingdale School","Elementary","3","R","R","R","R","R","R","R","R","R"
"03M149","P.S. 149 Sojourner Truth","K-8","3","R","R","R","R","R","R","R","R","16"
"03M163","P.S. 163 Alfred E. Smith","Elementary","3","R","R","R","R","R","R","R","R","20"
"03M165","P.S. 165 Robert E. Simon","K-8","3","7","R","R","R","27","R","R","R","63"
"03M166","P.S. 166 The Richard Rodgers School of The Arts an","Elementary","3","R","R","R","R","R","R","R","R","8"
"03M180","P.S. 180 Hugo Newman","K-8","3","R","R","R","R","R","R","R","R","21"
"03M185","P.S. 185 - The Early Childhood Discovery and Desig","Early Childhood","3","R","R","R","R","R","R","R","R","R"
"03M191","P.S. 191 Amsterdam","K-8","3","R","R","R","R","R","R","R","R","23"
"03M199","P.S. 199 Jessie Isador Straus","Elementary","3","R","R","R","R","R","R","R","R","0"
"03M208","The Alain L. Locke Magnet School for Environmental","Elementary","3","R","R","R","R","R","R","R","R","15"
"03M241","STEM Institute of Manhattan","Elementary","3","R","R","R","R","R","R","R","R","R"
"03M242","P.S. 242 - The Young Diplomats Magnet Academy","Elementary","3","R","R","R","R","R","R","R","R","13"
"03M243","M.S. 243 Center School","Junior High-Intermediate-Middle","3","R","R","R","R","R","R","R","R","0"
"03M245","M.S. M245 The Computer School","Junior High-Intermediate-Middle","3","R","R","R","R","R","R","R","R","R"
"03M247","M.S. M247 Dual Language Middle School","Junior High-Intermediate-Middle","3","8","R","R","R","23","R","R","R","36"
"03M250","M.S. 250 West Side Collaborative Middle School","Junior High-Intermediate-Middle","3","R","R","R","R","R","R","R","R","29"
"03M256","M.S. 256 Academic & Athletic Excellence","Junior High-Intermediate-Middle","3","R","R","R","R","R","R","R","R","50"
"03M258","Community Action School - MS 258","Junior High-Intermediate-Middle","3","R","R","R","R","R","R","R","R","69"
"03M291","West End Secondary School","Secondary School","3","R","R","R","R","R","R","R","R","0"
"03M299","The Maxine Greene HS for Imaginative Inquiry","High school","3","R","R","R","R","R","R","R","R","81"
"03M307","Urban Assembly School for Media Studies, The","High school","3","R","R","R","R","R","R","R","R","32"
"03M333","P.S. 333 Manhattan School for Children","K-8","3","R","R","R","R","R","R","R","R","25"
"03M334","The Anderson School","K-8","3","R","R","R","R","R","R","R","R","R"
"03M402","The Urban Assembly School for Green Careers","High school","3","6","8","R","R","44","60","R","R","130"
"03M403","The Global Learning Collaborative","High school","3","R","R","R","R","R","R","R","R","25"
"03M404","Innovation Diploma Plus","High school","3","R","R","R","R","R","R","R","R","44"
"03M415","Wadleigh Secondary School for the Performing & Vis","Secondary School","3","R","R","R","R","R","R","R","R","R"
"03M417","Frank Mccourt High School","High school","3","R","R","R","R","R","R","R","R","23"
"03M421","West Prep Academy","Junior High-Intermediate-Middle","3","R","R","R","R","R","R","R","R","47"
"03M452","P.S. 452","Elementary","3","R","R","R","R","R","R","R","R","R"
"03M479","Beacon High School","High school","3","R","R","R","R","R","R","R","R","0"
"03M485","Fiorello H. LaGuardia High School of Music & Art a","High school","3","R","R","R","R","R","R","R","R","18"
"03M492","High School for Law, Advocacy and Community Justic","High school","3","R","R","R","R","R","R","R","R","29"
"03M494","High School of Arts and Technology","High school","3","R","R","R","R","R","R","R","R","110"
"03M505","Edward A. Reynolds West Side High School","High school","3","R","R","R","R","R","R","R","R","R"
"03M541","Manhattan / Hunter Science High School","High school","3","R","R","R","R","R","R","R","R","R"
"03M859","Special Music School","K-12 all grades","3","R","R","R","R","R","R","R","R","R"
"03M860","Frederick Douglass Academy II Secondary School","Secondary School","3","R","R","R","R","R","R","R","R","160"
"03M862","Mott Hall II","Junior High-Intermediate-Middle","3","R","R","R","R","R","R","R","R","24"
"04M007","P.S. 007 Samuel Stern","K-8","4","R","R","R","R","R","R","R","R","R"
"04M012","Tag Young Scholars","K-8","4","R","R","R","R","R","R","R","R","R"
"04M037","River East Elementary","Elementary","4","R","R","R","R","R","R","R","R","6"
"04M038","P.S. 38 Roberto Clemente","Elementary","4","R","R","R","R","R","R","R","R","23"
"04M050","P.S. 050 Vito Marcantonio","K-8","4","R","R","R","R","R","R","R","R","R"
"04M057","James Weldon Johnson","K-8","4","R","R","R","R","R","R","R","R","11"
"04M072","The Lexington Academy","K-8","4","R","R","R","R","R","R","R","R","59"
"04M083","P.S. 083 Luis Munoz Rivera","Elementary","4","R","R","R","R","R","R","R","R","R"
"04M096","P.S. 096 Joseph Lanzetta","K-8","4","R","R","R","R","R","R","R","R","57"
"04M102","P.S. 102 Jacques Cartier","Elementary","4","R","R","R","R","R","R","R","R","17"
"04M108","P.S. 108 Assemblyman Angelo Del Toro Educational C","K-8","4","R","R","R","R","R","R","R","R","65"
"04M112","P.S. 112 Jose Celso Barbosa","Early Childhood","4","R","R","R","R","R","R","R","R","0"
"04M146","P.S. 146 Ann M. Short","Elementary","4","R","R","R","R","R","R","R","R","39"
"04M155","P.S. 155 William Paca","Elementary","4","R","R","R","R","R","R","R","R","9"
"04M171","P.S. 171 Patrick Henry","K-8","4","R","R","R","R","R","R","R","R","44"
"04M182","The Bilingual Bicultural School","Elementary","4","R","R","R","R","R","R","R","R","R"
"04M206","P.S. 206 Jose Celso Barbosa","K-8","4","R","R","R","R","R","R","R","R","33"
"04M224","M.S. 224 Manhattan East School for Arts & Academic","Junior High-Intermediate-Middle","4","R","R","R","R","R","R","R","R","R"
"04M372","Esperanza Preparatory Academy","Secondary School","4","10","20","R","R","18","39","R","R","93"
"04M375","Mosaic Preparatory Academy","Elementary","4","R","R","R","R","R","R","R","R","R"
"04M377","Renaissance School of the Arts","Junior High-Intermediate-Middle","4","R","R","R","R","R","R","R","R","20"
"04M406","Global Technology Preparatory","Junior High-Intermediate-Middle","4","R","R","R","R","R","R","R","R","13"
"04M409","Coalition School for Social Change","High school","4","R","R","R","R","R","R","R","R","32"
"04M435","Manhattan Center for Science and Mathematics","High school","4","R","R","R","R","R","R","R","R","30"
"04M495","Park East High School","High school","4","R","R","R","R","R","R","R","R","23"
"04M497","Central Park East I","Elementary","4","R","R","R","R","R","R","R","R","0"
"04M555","Central Park East High School","High school","4","R","R","R","R","R","R","R","R","R"
"04M610","Young Women's Leadership School","Secondary School","4","R","R","R","R","R","R","R","R","12"
"04M680","Heritage School, The","High school","4","R","R","R","R","R","R","R","R","80"
"04M825","Isaac Newton Middle School for Math & Science","Junior High-Intermediate-Middle","4","R","R","R","R","R","R","R","R","29"
"04M964","Central Park East II","K-8","4","R","R","R","R","R","R","R","R","0"
"05M030","P.S. 030 Hernandez/Hughes","Elementary","5","R","R","R","R","R","R","R","R","12"
"05M036","P.S. 036 Margaret Douglas","Elementary","5","R","R","R","R","R","R","R","R","R"
"05M046","P.S. 046 Arthur Tappan","K-8","5","R","R","R","R","R","R","R","R","100"
"05M092","P.S. 092 Mary McLeod Bethune","Elementary","5","R","R","R","R","R","R","R","R","17"
"05M123","P.S. 123 Mahalia Jackson","K-8","5","R","R","R","R","R","R","R","R","37"
"05M125","P.S. 125 Ralph Bunche","Elementary","5","R","R","R","R","R","R","R","R","7"
"05M129","P.S. 129 John H. Finley","K-8","5","R","R","R","R","R","R","R","R","14"
"05M133","P.S. 133 Fred R Moore","Elementary","5","R","R","R","R","R","R","R","R","18"
"05M148","Eagle Academy for Young Men of Harlem","Secondary School","5","R","R","R","R","R","R","R","R","14"
"05M154","P.S. 154 Harriet Tubman","Elementary","5","R","R","R","R","R","R","R","R","0"
"05M157","The Urban Assembly School for Global Commerce","High school","5","R","R","R","R","R","R","R","R","40"
"05M161","P.S. 161 Pedro Albizu Campos","K-8","5","R","R","R","R","R","R","R","R","28"
"05M175","P.S. 175 Henry H Garnet","Elementary","5","R","R","R","R","R","R","R","R","20"
"05M194","P.S. 194 Countee Cullen","Elementary","5","R","R","R","R","R","R","R","R","0"
"05M197","P.S. 197 John B. Russwurm","Elementary","5","R","R","R","R","R","R","R","R","R"
"05M200","P.S. 200- The James Mccune Smith School","Elementary","5","R","R","R","R","R","R","R","R","6"
"05M285","Harlem Renaissance High School","High school","5","R","R","R","R","R","R","R","R","26"
"05M286","Urban Assembly Academy for Future Leaders","Junior High-Intermediate-Middle","5","R","R","R","R","R","R","R","R","45"
"05M302","KAPPA IV","Junior High-Intermediate-Middle","5","R","R","R","R","R","R","R","R","20"
"05M304","Mott Hall High School","High school","5","R","R","R","R","R","R","R","R","72"
"05M318","Thurgood Marshall Academy Lower School","Elementary","5","R","R","R","R","R","R","R","R","9"
"05M362","Columbia Secondary School","Secondary School","5","R","R","R","R","R","R","R","R","13"
"05M367","Academy for Social Action","High school","5","R","R","R","R","R","R","R","R","33"
