"district","sfcode","bldgcode","schoolname","siteaddress","city","zip","accessibility","longitude","latitude","koshermealtype"
"17","17805","K022","Brooklyn Arts and Science Elementary School","443 ST MARKS AVENUE","Brooklyn","11238","Fully Accessible","-73.960093","40.6771","non-kosher"
"17","17181","K181","P.S. 181 Brooklyn","1023 NEW YORK AVENUE","Brooklyn","11203","Fully Accessible","-73.945883","40.648217","non-kosher"
"9","09126","X126","P.S. 126 Dr Marjorie H Dunbar","175 WEST 166 STREET","Bronx","10452","No Accessibility","-73.9282","40.835866","non-kosher"
"7","07018","X018","P.S. 018 John Peter Zenger","502 MORRIS AVENUE","Bronx","10451","No Accessibility","-73.922697","40.816369","non-kosher"
"30","30732",,"NYC Parks Fisher Pool","99 Street btw Northern Blvd & 32nd A","Queens","11369","No Accessibility","-73.86984","40.759078","non-kosher"
"18","18566","K515","Brooklyn Community High School for Excellence and Equity","6565 FLATLANDS AVENUE","Brooklyn","11236","Partially Accessible","-73.916927","40.634451","non-kosher"
"21","21228","K228","I.S. 228 David A. Boody","228 AVENUE S","Brooklyn","11223","Partially Accessible","-73.976801","40.60066","non-kosher"
"2","02217","M271","P.S./I.S. 217 Roosevelt Island","645 MAIN STREET","Manhattan","10044","Fully Accessible","-73.956435","40.753598","non-kosher"
"14","14050","K050","J.H.S. 050 John D. Wells","183 SOUTH  3 STREET","Brooklyn","11211","No Accessibility","-73.960137","40.711915","non-kosher"
"29","29268","Q268","P.S./I.S. 268","92-07 175 STREET","Queens","11433","Fully Accessible","-73.78521","40.707648","non-kosher"
"32","32106","K106","P.S. 106 Edward Everett Hale","1328 PUTNAM AVENUE","Brooklyn","11221","No Accessibility","-73.913378","40.693318","non-kosher"
"24","24102","Q102","P.S. 102 Bayview","55-24 VAN HORN STREET","Queens","11373","Fully Accessible","-73.878243","40.733033","non-kosher"
"31","31056","R056","P.S. 56 The Louis Desario School","250 KRAMER AVENUE","Staten Island","10309","Fully Accessible","-74.213943","40.541856","non-kosher"
"24","24088","Q088","P.S. 088 Seneca","60-85 CATALPA AVENUE","Queens","11385","Partially Accessible","-73.896437","40.704105","non-kosher"
"19","19159","K159","P.S. 159 Isaac Pitkin","2781 PITKIN AVENUE","Brooklyn","11208","No Accessibility","-73.869705","40.676111","non-kosher"
"21","21098","K043","I.S. 98 Bay Academy","1401 EMMONS AVENUE","Brooklyn","11235","No Accessibility","-73.954047","40.583893","non-kosher"
"3","03402","M470","THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS","145 WEST  84 STREET","Manhattan","10024","Fully Accessible","-73.974483","40.786134","non-kosher"
"21","21288","K288","P.S. 288 The Shirley Tanyhill","2950 WEST  25 STREET","Brooklyn","11224","No Accessibility","-73.992393","40.574029","non-kosher"
"28","28139","Q139","P.S. 139 Rego Park","93-06 63 DRIVE","Queens","11374","Partially Accessible","-73.862561","40.728012","non-kosher"
"12","12578","X423","THE CINEMA SCHOOL","1551 East 172 Street","Bronx","10472","Fully Accessible","-73.878191","40.832508","non-kosher"
"8","08120","X120","M.S. 301 Paul L. Dunbar","890 CAULDWELL AVENUE","Bronx","10456","No Accessibility","-73.906739","40.822291","non-kosher"
"18","18276","K276","P.S. 276 Louis Marshall","1070 EAST  83 STREET","Brooklyn","11236","No Accessibility","-73.908436","40.634005","non-kosher"
"11","11153","X153","P.S. 153 Helen Keller","650 BAYCHESTER AVENUE","Bronx","10475","Fully Accessible","-73.831669","40.874035","non-kosher"
"20","20105","K105","P.S. 105 The Blythebourne","1031 59 STREET","Brooklyn","11219","No Accessibility","-74.003635","40.63332","non-kosher"
"23","23518","K275","Kappa V","985 ROCKAWAY AVENUE","Brooklyn","11212","Fully Accessible","-73.906662","40.655644","non-kosher"
"2","02799",,"Asser Levy Pool","392 Asser Levy Place @ 23rd Street","Manhattan","10010","No Accessibility","-73.976159","40.736137","non-kosher"
"14","14724",,"McCarren Pool","776 Lorimer Street","Brooklyn","11222","No Accessibility","-73.950353","40.720058","non-kosher"
"14","14704",,"Bushwick Pool","835 Flushing Avenue","Brooklyn","11206","No Accessibility","-73.939194","40.701361","non-kosher"
"9","09219","X148","I.S. 219 New Venture School","3630 THIRD AVENUE","Bronx","10456","No Accessibility","-73.903951","40.833493","non-kosher"
"8","08786",,"Barretto Point Floating Pool","Corner of Tiffany St. Viele Avenue","Bronx","10474","No Accessibility","-73.889145","40.806118","non-kosher"
"6","06153","M153","P.S. 153 Adam Clayton Powell","1750 AMSTERDAM AVENUE","Manhattan","10031","Partially Accessible","-73.947599","40.826514","non-kosher"
"2","02479","M912","Beacon High School","521 WEST 43RD STREET","Manhattan","10036","Fully Accessible",,,"non-kosher"
"31","31774",,"Tottenville Pool","Hylan Blvd and Joline Ave","Staten Island","10307","No Accessibility","-74.235106","40.506138","non-kosher"
"13","13738",,"Commodore Barry Pool","Flushing Ave and North Elliot Place","Brooklyn","11205","No Accessibility","-73.977532","40.698117","non-kosher"
"2","02797",,"Vesuvio Pool","Thompson St. & South of Prince Stree","Manhattan","10011","No Accessibility","-74.001598","40.726118","non-kosher"
"15","15088","K088","J.H.S. 088 Peter Rouget","544 7TH AVENUE","Brooklyn","11215","Fully Accessible","-73.988743","40.660805","non-kosher"
"16","16267","K324","M.S. 267 Math, Science & Technology","800 GATES AVENUE","Brooklyn","11221","Partially Accessible","-73.932066","40.68797","non-kosher"
"22","22251","K251","P.S. 251 Paerdegat","1037 EAST  54 STREET","Brooklyn","11234","No Accessibility","-73.923894","40.63195","non-kosher"
"16","16040","K040","P.S. 040 George W. Carver","265 RALPH AVENUE","Brooklyn","11233","No Accessibility","-73.921099","40.680239","non-kosher"
"8","08267","X174","Archimedes Academy for Math, Science and Technology Applications","456 WHITE PLAINS ROAD","Bronx","10473","Partially Accessible","-73.85607","40.815043","non-kosher"
"27","27254","Q254","P.S. 254 - The Rosa Parks School","84-40 101 STREET","Queens","11418","Fully Accessible","-73.847886","40.6972","non-kosher"
"20","20939","K746","Sunset School of Cultural Learning","270 59th Street","Brooklyn","11220","Fully Accessible",,,"non-kosher"
"24","24153","Q153","P.S. 153 Maspeth Elem","60-02 60 LANE","Queens","11378","Fully Accessible","-73.904463","40.716296","non-kosher"
"19","19218","K218","J.H.S. 218 James P. Sinnott","370 FOUNTAIN AVENUE","Brooklyn","11208","No Accessibility","-73.874537","40.67002","non-kosher"
"12","12211","X193","P.S. 211","1919 PROSPECT AVENUE","Bronx","10457","Fully Accessible","-73.890145","40.843705","non-kosher"
"4","04007","M007","P.S. 007 Samuel Stern","160 EAST 120 STREET","Manhattan","10035","Fully Accessible","-73.939374","40.800616","non-kosher"
"5","05123","M123","P.S. 123 Mahalia Jackson","301 WEST 140 STREET","Manhattan","10030","No Accessibility","-73.944551","40.820216","non-kosher"
"7","07031","X151","P.S./M.S. 031 The William Lloyd Garrison","250 EAST 156 STREET","Bronx","10451","Partially Accessible","-73.92114","40.822574","non-kosher"
"31","31084","R070","The Waverly Academy of Empowered Learners","45 Waverly Place","Staten Island","10304","Fully Accessible",,,"non-kosher"
"9","09328","X145","New Millennium Bronx Academy of the Arts","1000 TELLER AVENUE","Bronx","10456","No Accessibility","-73.914067","40.827438","non-kosher"
"19","19704",,"NYCHA Breukelen Resident Association","254 Stanley Ave Apt 1D","Brooklyn","11236","No Accessibility","-73.89564","40.651671","non-kosher"
"15","15703",,"NYCHA Red Hook West Resident Association","428 Columbia St  Room1C","Brooklyn","11231","No Accessibility","-74.006789","40.67657","non-kosher"
"15","15242","K142","Brooklyn New School-PS 146 (The)","610 HENRY STREET","Brooklyn","11231","No Accessibility","-74.002022","40.679462","non-kosher"
"8","08152","X152","P.S. 152 Evergreen","1007 EVERGREEN AVENUE","Bronx","10472","Partially Accessible","-73.880479","40.823941","non-kosher"
"23","23244","K271","Eagle Academy for Young Men II","1137 HERKIMER STREET","Brooklyn","11233","No Accessibility","-73.915106","40.678124","non-kosher"
"24","24016","Q721","P.S. Q016 The Nancy DeBenedittis School","41-15 104 STREET","Queens","11368","Fully Accessible","-73.860547","40.748996","non-kosher"
"2","02089","M089","P.S. 89","201 WARREN STREET","Manhattan","10282","Fully Accessible","-74.013967","40.71701","non-kosher"
"21","21226","K226","P.S. 226 Alfred De B.Mason","6006 23 AVENUE","Brooklyn","11204","Fully Accessible","-73.977099","40.615405","non-kosher"
"8","08014","X014","P.S. X014 Senator John Calandra","3047 BRUCKNER BOULEVARD","Bronx","10461","Partially Accessible","-73.826277","40.835318","non-kosher"
"5","05728",,"Jackie Robinson Pool","146th Street & Bradhurst Avenue","Manhattan","10030","No Accessibility","-73.942428","40.82391","non-kosher"
"19","19007","K007","P.S. 007 Abraham Lincoln","858 JAMAICA AVENUE","Brooklyn","11208","Fully Accessible","-73.872983","40.689213","non-kosher"
"17","17316","K316","P.S. 316 Elijah Stroud","750 CLASSON AVENUE","Brooklyn","11238","Partially Accessible","-73.961418","40.674685","non-kosher"
"9","09117","X117","I.S. 117 Joseph H. Wade","1865 MORRIS AVENUE","Bronx","10453","No Accessibility","-73.909022","40.848552","non-kosher"
"4","04964","M050","Central Park East II","433 EAST 100 STREET","Manhattan","10029","Partially Accessible","-73.940919","40.785559","non-kosher"
"16","16309","K309","P.S. 309 The George E. Wibecan Preparatory Academy","794 MONROE STREET","Brooklyn","11221","No Accessibility","-73.924422","40.6881","non-kosher"
"22","22152","K152","School of Science & Technology","725 EAST  23 STREET","Brooklyn","11210","Partially Accessible","-73.954269","40.632619","non-kosher"
"23","23298","K298","P.S. 298 Dr. Betty Shabazz","85 WATKINS STREET","Brooklyn","11212","Partially Accessible","-73.907718","40.671015","non-kosher"
"28","28008","Q008","J.H.S. 008 Richard S. Grossley","108-35 167 STREET","Queens","11433","Partially Accessible","-73.786403","40.69691","non-kosher"
"10","10015","X015","P.S. X015 Institute for Environmental Learning","2195 ANDREWS AVENUE","Bronx","10453","Fully Accessible","-73.909763","40.859243","non-kosher"
"10","10037","X037","P.S. X037 - Multiple Intelligence School","360 WEST 230 STREET","Bronx","10463","Fully Accessible","-73.913694","40.877935","non-kosher"
"10","10095","X095","P.S. 095 Sheila Mencher","3961 HILLMAN AVENUE","Bronx","10463","Fully Accessible","-73.891664","40.883049","non-kosher"
"10","10254","X254","I.S. 254","2452 WASHINGTON AVENUE","Bronx","10458","Fully Accessible","-73.889878","40.858721","non-kosher"
"10","10086","X086","P.S. 086 Kingsbridge Heights","2756 RESERVOIR AVENUE","Bronx","10468","Partially Accessible","-73.897066","40.869061","non-kosher"
"10","10023","X023","P.S. 023 The New Children's School","2151 WASHINGTON AVENUE","Bronx","10457","Fully Accessible","-73.894951","40.853294","non-kosher"
"10","10137","X137","The Angelo Patri Middle School","2225 WEBSTER AVENUE","Bronx","10457","Partially Accessible","-73.897404","40.854257","non-kosher"
"10","10003","X003","P.S. 3 Raul Julia Micro Society","2100 LAFONTAINE AVENUE","Bronx","10457","Fully Accessible","-73.89163","40.850131","non-kosher"
"5","05754",,"NYCHA St. Nicholas","225 West 129","Manhattan","10027","No Accessibility","-73.947653","40.813609","non-kosher"
"17","17707",,"NYCHA Rutland Towers Resident Association","955 Rutland Road","Brooklyn","11212","No Accessibility","-73.958448","40.669382","non-kosher"
"21","21712",,"NYCHA Marlboro Resident Association","2304 West 8th","Brooklyn","11223","No Accessibility","-73.978407","40.591872","non-kosher"
"8","08107","X107","P.S. 107","1695 SEWARD AVENUE","Bronx","10473","No Accessibility","-73.868735","40.819221","non-kosher"
"14","14752",,"NYCHA Marcy Resident Association","604  Park Ave","Brooklyn","112606","No Accessibility","-73.949822","40.697556","non-kosher"
"19","19718",,"NYCHA Louis Pink Resident Association","1258 Loring Avenue -Ground Floor","Brooklyn","11209","No Accessibility","-73.865549","40.667329","non-kosher"
"1","01714",,"NYCHA Vladeck","328 MADISON Street","Manhattan","10002","No Accessibility","-73.978148","40.725037","non-kosher"
"15","15706",,"NYCHA 303 Wyckoff Gardens Resident Association","266 Wyckoff Street","Brooklyn","11217","No Accessibility","-73.984795","40.682893","non-kosher"
"19","19654","K166","Van Siclen Community Middle School","800 VAN SICLEN AVE","Brooklyn","11207","Fully Accessible","-73.885704","40.659934","non-kosher"
"16","16747",,"NYCHA Saratoga Village  Resident Association","33-35 Saratoga Ave","Brooklyn","11233","No Accessibility","-73.918931","40.685121","non-kosher"
"10","10046","X046","P.S. 046 Edgar Allan Poe","279 EAST 196 STREET","Bronx","10458","Fully Accessible","-73.890402","40.867169","non-kosher"
"8","08624","X074","Bronx Academy for Multi-Media","730 BRYANT AVENUE","Bronx","10474","Partially Accessible","-73.885284","40.815827","non-kosher"
"27","27709",,"Broad Channel Library","16-26 CROSS BAY BLVD","Queens","11693","No Accessibility","-73.753951","40.608768","non-kosher"
"26","26713",,"Glen Oaks Library","256-04 UNION TURNPIKE","Queens","11355","No Accessibility",,,"non-kosher"
"28","28739",,"Briarwood Library","85-12 MAIN ST","Queens","11435","No Accessibility","-73.819621","40.71014","non-kosher"
"26","26716",,"QPL - Douglaston/Little Neck","249-01 NORTHERN BLVD","Queens","11363","No Accessibility",,,"non-kosher"
"24","24732",,"Elmhurst Library","86-07 BROADWAY","Queens","11373","No Accessibility","-73.877382","40.738498","non-kosher"
"24","24723",,"Maspeth Library","6970 GRAND AVE","Queens","11378","No Accessibility","-73.870093","40.736522","non-kosher"
"30","30757",,"Langston Hughes Library","100-01 NORTHERN BLVD","Queens","11368","No Accessibility","-73.868331","40.757361","non-kosher"
"28","28796",,"South Jamaica Library","108-41 GUY R. BREWER BLVD.","Queens","11433","No Accessibility","-73.790734","40.695879","non-kosher"
"25","25719",,"022 QPL - McGoldrick Library","155-06 ROOSEVELT AVE","Queens","11354","No Accessibility","-73.809754","40.763998","non-kosher"
"18","18793",,"Brooklyn Public Library - Rugby Library","1000 Utica Avenue","Brooklyn","11203","No Accessibility","-73.930067","40.648725","non-kosher"
"24","24731",,"Corona Library","38-23 104TH ST.","Queens","11368","No Accessibility","-73.862204","40.750871","non-kosher"
"18","18777",,"Brooklyn Public Library - Jamaica Bay Library","9727 Seaview Avenue","Brooklyn","11236","No Accessibility","-73.889427","40.634077","non-kosher"
"18","18710",,"025 BPL - East Flatbush Library","9612 Church Avenue","Brooklyn","11212","No Accessibility","-73.915258","40.655815","non-kosher"
"29","29796",,"Cambria Heights Library","218-13 LINDEN BLVD","Queens","11411","No Accessibility","-73.74138","40.69554","non-kosher"
"21","21705",,"BPL - Brighton Beach","16 Brighton First Road","Brooklyn","11235","No Accessibility","-73.966486","40.576125","non-kosher"
"27","27733",,"Woodhaven Library","85-41 FOREST PARKWAY","Queens","11421","No Accessibility","-73.861812","40.694619","non-kosher"
"26","26712",,"North Hills Library","5704 MARATHON PKWY","Queens","11362","No Accessibility","-73.731299","40.759403","non-kosher"
"26","26707",,"East Flushing Library","196-36 NORTHERN BLVD","Queens","11358","No Accessibility","-73.785323","40.757922","non-kosher"
"22","22761",,"Brooklyn Public Library - Paerdegat Library","850 East 59th Street","Brooklyn","11234","No Accessibility","-73.919672","40.632546","non-kosher"
"30","30728",,"Long Island City Library","3744 21ST STREET","Queens","11101","No Accessibility","-73.948312","40.751564","non-kosher"
"30","30755",,"021 QPL - Astoria Library","14-01 ASTORIA BLVD","Queens","11102","No Accessibility","-73.928757","40.772173","non-kosher"
"28","28722",,"Forest Hills Library","108-19 71ST AVE","Queens","11375","No Accessibility","-73.777422","40.684301","non-kosher"
"17","17723",,"Brooklyn Public Library - Flatbush Library","22 Linden Boulevard","Brooklyn","11226","No Accessibility","-73.958177","40.652192","non-kosher"
"27","27763",,"QPL - Ozone Park Library","92-24 ROCKAWAY BLVD","Queens","11417","No Accessibility","-73.847111","40.681283","non-kosher"
"19","19707",,"Brooklyn Public Library - New Lots Library","665 New Lots Avenue","Brooklyn","11207","No Accessibility","-73.885789","40.665054","non-kosher"
"28","28776",,"Central Library","89-11 MERRICK BLVD","Queens","11432","No Accessibility","-73.795295","40.707865","non-kosher"
"25","25725",,"QPL - Mitchell-Linden Library","31-32 UNION ST.","Queens","11354","No Accessibility",,,"non-kosher"
"27","27713",,"Howard Beach Library","92-06 156TH AVE","Queens","11414","No Accessibility","-73.841928","40.664069","non-kosher"
"22","22755",,"Brooklyn Public Library - Kensington Library","4207 18th Avenue","Brooklyn","11218","No Accessibility","-73.97557","40.631493","non-kosher"
"24","24724",,"023 QPL - Sunnyside Library","43-06 GREENPOINT AVE.","Queens","11104","No Accessibility","-73.861777","40.744282","non-kosher"
"28","28726",,"North Forest Park","98-27 Metropolitan Ave","Queens","11354","No Accessibility","-73.798948","40.708104","non-kosher"
"16","16749",,"BPL - Macon Library","361 Lewis Avenue","Brooklyn","11233","No Accessibility","-73.935075","40.683161","non-kosher"
"27","27779",,"Lefferts Library","103-34 LEFFERTS BLVD","Queens","11419","No Accessibility","-73.824691","40.687273","non-kosher"
"27","27753",,"Far Rockaway Library","1003 BEACH 20 STREET","Queens","11691","No Accessibility","-73.752641","40.604487","non-kosher"
"25","25752",,"Queensboro Hill Library","60-05 MAIN ST.","Queens","11355","No Accessibility","-73.825526","40.74308","non-kosher"
"14","14250","K250","P.S. 250 George H. Lindsay","108 MONTROSE AVENUE","Brooklyn","11206","Partially Accessible","-73.945659","40.706708","non-kosher"
"25","25701",,"Pomonok Library","158-21 JEWEL AVE","Queens","11365","No Accessibility","-73.81045","40.732361","non-kosher"
"26","26710",,"Bayside Library","214-20 NORTHERN BLVD","Queens","11361","No Accessibility","-73.768588","40.760363","non-kosher"
"25","25717",,"Flushing Library","41-17 MAIN STREET","Queens","11355","No Accessibility","-73.829252","40.757784","non-kosher"
"30","30724",,"Jackson Heights Library","35-51 81ST ST.","Queens","11372","No Accessibility","-73.885533","40.751319","non-kosher"
"29","29725",,"QPL-South Hollis Library","204-01 HOLLIS AVENUE SOUTH","Queens","11412","No Accessibility","-73.753827","40.706755","non-kosher"
"24","24718",,"Ridgewood Library","20-12 MADISON ST.","Queens","11385","No Accessibility",,,"non-kosher"
"28","28741",,"Rochdale Village Library","169-09 137TH AVENUE","Queens","11434","No Accessibility","-73.771001","40.672615","non-kosher"
"15","15745",,"024 BPL - Borough Park Library","1265 43rd Street","Brooklyn","11219","No Accessibility","-73.989479","40.638914","non-kosher"
"26","26717",,"Fresh Meadows Library","193-20 HORACE HARDING EXPRESSWAY","Queens","11365","No Accessibility","-73.781108","40.733348","non-kosher"
"27","27702",,"Peninsula Library","92-25 ROCKAWAY BEACH BLVD","Queens","11693","No Accessibility","-73.792985","40.685066","non-kosher"
"21","21716",,"BPL - Highlawn Library","1664 West 13th Street","Brooklyn","11223","No Accessibility","-73.97474","40.595341","non-kosher"
"17","17722",,"Brooklyn Public Library - Crown Heights Library","560 New York Avenue","Brooklyn","11225","No Accessibility","-73.947773","40.661116","non-kosher"
"27","27714",,"South Ozone Park Library","128-16 Rockaway Blvd","Queens","11354","No Accessibility","-73.809585","40.675084","non-kosher"
"30","30744",,"Woodside Library","54-22 SKILLMAN AVE","Queens","11377","No Accessibility","-73.90982","40.745524","non-kosher"
"25","25707",,"Poppenhusen Library","121-23 14TH AVE","Queens","11356","No Accessibility","-73.846506","40.785984","non-kosher"
"23","23722",,"Brooklyn Public Library - Stone Avenue Library","581 Mother Gaston Boulevard","Brooklyn","11212","No Accessibility","-73.905478","40.664539","non-kosher"
"24","24711",,"East Elmhurst Library","95-06 ASTORIA BLVD","Queens","11369","No Accessibility","-73.909707","40.703993","non-kosher"
"26","26706",,"QPL-Bellerose Library","250-06 HILLSIDE AVENUE","Queens","11426","No Accessibility","-73.717266","40.735403","non-kosher"
"27","27762",,"Baisley Park Library","117-11 SUTPHIN BLVD.","Queens","11436","No Accessibility","-73.79203","40.680318","non-kosher"
"27","27773",,"Seaside Library","116-15 ROCKAWAY BEACH BLVD.","Queens","11694","No Accessibility","-73.837487","40.57971","non-kosher"
"22","22760",,"BPL - Gerritsen Beach Library","2808 Gerritsen Avenue","Brooklyn","11229","No Accessibility","-73.923725","40.591563","non-kosher"
"18","18711",,"Brooklyn Public Library - Canarsie Library","1580 Rockaway Parkway","Brooklyn","11236","No Accessibility","-73.899179","40.642307","non-kosher"
"21","21796",,"Brooklyn Public Library - Coney Island Library","1901 Mermaid Avenue","Brooklyn","11224","No Accessibility","-73.985993","40.576502","non-kosher"
"27","27701",,"Arverne Library","312 BEACH 54TH ST.","Queens","11692","No Accessibility","-73.784341","40.593066","non-kosher"
"20","20754",,"BPL - New Utrecht Library","1743 86th Street","Brooklyn","11214","No Accessibility","-74.003616","40.607852","non-kosher"
"29","29192","Q192","I.S. 192 The Linden","109-89 204 STREET","Queens","11412","No Accessibility","-73.752885","40.705989","non-kosher"
"29","29710",,"Hollis Library","202-05 HILLSIDE AVE","Queens","11423","No Accessibility","-73.762191","40.719914","non-kosher"
"14","14755",,"BPL - Bushwick Library","340 Bushwick Avenue","Brooklyn","11206","No Accessibility","-73.93927","40.704737","non-kosher"
"28","28718",,"QPL-Rego Park Library","91-41 63RD DRIVE REGO PARK, NY 1","Queens","11375","No Accessibility","-73.775875","40.673783","non-kosher"
"1","01713",,"NYCHA 175 Eldridge Resident Association","213-15 Eldridge Street","Manhattan","10002","No Accessibility","-73.989862","40.722289","non-kosher"
"25","25724",,"QPL-Auburndale Library","25-55 FRANCIS LEWIS BLVD","Queens","11358","No Accessibility","-73.810518","40.768152","non-kosher"
"25","25749",,"QPL - Whitestone Library","151-10 14TH ROAD, WHITESTONE","Queens","11357","No Accessibility","-73.810893","40.78864","non-kosher"
"26","26718",,"Windsor Park","79-50 Bell Blvd","Queens","11364","No Accessibility","-73.770122","40.757064","non-kosher"
"22","22611","K495","Origins High School","3000 AVENUE X","Brooklyn","11235","Fully Accessible","-73.936635","40.593157","non-kosher"
"19","19731",,"NYCHA  Cypress Hills Resident Association","465 Fountain Ave","Brooklyn","11208","No Accessibility","-73.873084","40.668397","non-kosher"
"3","03722",,"NYCHA 146 Saint Nicholas","146 ST. NICHOLAS AVENUE (West 117th","Manhattan","10026","No Accessibility","-73.95275","40.80455","non-kosher"
"24","24746",,"QPL - Glendale Library","78-60 73 PLACE","Queens","11385","No Accessibility","-73.875748","40.703149","non-kosher"
"13","13256","K256","P.S. 256 Benjamin Banneker","114 KOSCIUSZKO STREET","Brooklyn","11216","No Accessibility","-73.94961","40.690595","non-kosher"
"31","31771",,"NYCHA South Beach","155 Norway avenue","Staten Island","10305","No Accessibility","-74.12299","40.615413","non-kosher"
"11","11729",,"NYCHA Eastchester Gardens","1216 BURKE AVE","Bronx","10469","No Accessibility","-73.855407","40.832814","non-kosher"
"9","09740",,"NYCHA Clay Avenue (Claremont 2)  Resident Association.","1195 Clay Avenue","Bronx","10456","No Accessibility","-73.910628","40.832385","non-kosher"
"29","29706",,"Rosedale Library","144-20 243RD ST","Queens","11422","No Accessibility","-73.739488","40.660152","non-kosher"
"27","27749",,"NYCHA Beach 41st Resident Association","433A Beach 40th Street","Queens","11691","No Accessibility","-73.77244","40.596298","non-kosher"
"30","30729",,"Hunters Point Library","47-40 CENTER BLVD.","Queens","11109","No Accessibility","-73.925767","40.756072","non-kosher"
"29","29356","Q231","Community Voices Middle School","145-00 SPRINGFIELD BOULEVARD","Queens","11413","No Accessibility","-73.759396","40.664809","non-kosher"
